created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,possibly_sensitive,extended_entities.media,geo.type,geo.coordinates,coordinates.type,coordinates.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,user.entities.url.urls
Tue Feb 24 06:52:29 +0000 2015,570114021854212096,570114021854212096,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during booking 😢",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,207212800,207212800,Jordan Pichler,jordanpichler,"Wien, Österreich",,https://t.co/HXOqFPX7Bb,[],False,56,340,0,Sun Oct 24 20:10:35 +0000 2010,844,,,True,False,183,,False,False,False,000000,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1316130430312161280/w2SY2p44_normal.jpg,https://pbs.twimg.com/profile_images/1316130430312161280/w2SY2p44_normal.jpg,https://pbs.twimg.com/profile_banners/207212800/1574556184,FFCC4D,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/HXOqFPX7Bb', 'expanded_url': 'http://GitHub.com/jordanpichler', 'display_url': 'GitHub.com/jordanpichler', 'indices': [0, 23]}]"
Tue Feb 24 02:46:00 +0000 2015,570051991277342720,570051991277342720,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",570010226893725696,570010226893725696,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,326758326,326758326,miaerolinea,miaerolinea,Worldwide,"YOUR FLIGHT AROUND THE WORLD. News, tips and inspiration for passengers. Noticias, consejos e inspiración para pasajeros.",https://t.co/ztRwPdgjUS,[],False,10274,8098,118,Thu Jun 30 12:57:07 +0000 2011,7,,,False,False,58660,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/754853297505304576/WVUNaYM-_normal.jpg,https://pbs.twimg.com/profile_images/754853297505304576/WVUNaYM-_normal.jpg,https://pbs.twimg.com/profile_banners/326758326/1468806274,0064A2,FFFFFF,F5F5F5,000000,False,False,False,False,False,False,False,none,False,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ztRwPdgjUS', 'expanded_url': 'http://www.miaerolinea.com', 'display_url': 'miaerolinea.com', 'indices': [0, 23]}]"
Mon Feb 23 18:56:16 +0000 2015,569933777931145216,569933777931145216,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,28307855,28307855,Letsflywithgreg,artisticwritr87,"Dallas, TX",*Hospitality *FashionMerch *Writer *EyewearCollector *Music *PhotoGeek,https://t.co/rcPncinYJR,[],False,504,1957,62,Thu Apr 02 09:11:44 +0000 2009,3690,,,True,False,20844,,False,False,False,FFCC4D,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1295230293805236225/fxjvXfGA_normal.jpg,https://pbs.twimg.com/profile_images/1295230293805236225/fxjvXfGA_normal.jpg,https://pbs.twimg.com/profile_banners/28307855/1566585852,91D2FA,000000,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/rcPncinYJR', 'expanded_url': 'http://www.instagram.com/letsflywithgreg', 'display_url': 'instagram.com/letsflywithgreg', 'indices': [0, 23]}]"
Mon Feb 23 23:19:41 +0000 2015,570000071644872704,570000071644872704,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,137780518,137780518,Greg Murat,papamurat,,,,[],False,11,3,0,Tue Apr 27 18:59:21 +0000 2010,0,,,False,False,3,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1020496084152537091/rSSsxUaq_normal.jpg,https://pbs.twimg.com/profile_images/1020496084152537091/rSSsxUaq_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,
Mon Feb 23 22:09:06 +0000 2015,569982307634794497,569982307634794497,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,17442410,17442410,Lawale Adewoyin,1stcrown,USA,Real estate professional focusing on value creation locally and internationally through collaboration.,http://t.co/iQvBV5SebM,[],False,1126,1813,4,Mon Nov 17 14:43:41 +0000 2008,127,,,True,False,3092,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/499214455280898049/u6vqactc_normal.jpeg,https://pbs.twimg.com/profile_images/499214455280898049/u6vqactc_normal.jpeg,https://pbs.twimg.com/profile_banners/17442410/1358777680,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/iQvBV5SebM', 'expanded_url': 'http://www.1stcrownrealty.com', 'display_url': '1stcrownrealty.com', 'indices': [0, 22]}]"
Mon Feb 23 18:58:43 +0000 2015,569934395865493504,569934395865493504,@VirginAmerica what happened to Doom?!,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,1,False,False,en,2975519020,2975519020,Kyle Romanoff,Kyle_Romanoff,"Seattle,WA/New York",UW,https://t.co/KdHsqAUFfy,[],False,1548,238,32,Mon Jan 12 22:52:55 +0000 2015,45058,,,True,False,38992,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1245391186979946496/2XsA0o9d_normal.jpg,https://pbs.twimg.com/profile_images/1245391186979946496/2XsA0o9d_normal.jpg,https://pbs.twimg.com/profile_banners/2975519020/1585759373,0084B4,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/KdHsqAUFfy', 'expanded_url': 'http://Instagram.com/kyleromanoff', 'display_url': 'Instagram.com/kyleromanoff', 'indices': [0, 23]}]"
Tue Feb 24 02:19:47 +0000 2015,570045393565691904,570045393565691904,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",568863288093749248,568863288093749248,12101862,12101862,VirginAmerica,,,,,False,0,1,False,False,en,34634508,34634508,Nicole Boedeker,Nicsplace,Central Texas,Saved by https://t.co/IbPye4x1Vt of 2.🌍traveler.Loyal friend.Avid reader.Great cook.Music lover.Singer of songs.Dreamer.Liver of life.Lover of laughter.🕆🇺🇸🇮🇪🇮🇱,,"[{'url': 'https://t.co/IbPye4x1Vt', 'expanded_url': 'http://Grace.Mom', 'display_url': 'Grace.Mom', 'indices': [9, 32]}]",False,734,1195,15,Thu Apr 23 15:04:33 +0000 2009,3784,,,True,False,13012,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,True,http://pbs.twimg.com/profile_images/1285695570598932480/hQ69r96i_normal.jpg,https://pbs.twimg.com/profile_images/1285695570598932480/hQ69r96i_normal.jpg,https://pbs.twimg.com/profile_banners/34634508/1454731197,970834,4D65A3,FFFFFF,2B3676,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 15:49:15 +0000 2015,570249102404923392,570249102404923392,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,246629797,246629797,Leora lesh,Leora13,,,,[],False,53,59,0,Thu Feb 03 04:22:19 +0000 2011,14,,,False,False,18,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/560133983594229760/1UFM_ThN_normal.jpeg,https://pbs.twimg.com/profile_images/560133983594229760/1UFM_ThN_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 00:04:28 +0000 2015,570011341483843584,570011341483843584,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",569914751121276928,569914751121276928,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,1134246590,1134246590,nicola nicola 7,vacations7,Turks and caicos,"nicola nicola I am known for my intensity, integrity, impact, influence, initiative and insight.. In short, I deliver results.

I live and work by my val",http://t.co/Db8qnvSF6E,[],False,670,1216,110,Wed Jan 30 14:31:11 +0000 2013,6206,,,False,False,13321,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/674724537389465600/GcXaDX7A_normal.jpg,https://pbs.twimg.com/profile_images/674724537389465600/GcXaDX7A_normal.jpg,https://pbs.twimg.com/profile_banners/1134246590/1449701864,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,False,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/Db8qnvSF6E', 'expanded_url': 'http://about.me/vacations7resortsinternational', 'display_url': 'about.me/vacations7reso…', 'indices': [0, 22]}]"
Tue Feb 24 04:55:30 +0000 2015,570084582780899328,570084582780899328,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",570078779495882752,570078779495882752,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,258591197,258591197,amandamccarty,amanduhmccarty,"San Diego, CA",,,[],False,1336,485,2,Mon Feb 28 01:50:08 +0000 2011,150,,,True,False,4421,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/937900058170626053/WsxO49Hh_normal.jpg,https://pbs.twimg.com/profile_images/937900058170626053/WsxO49Hh_normal.jpg,https://pbs.twimg.com/profile_banners/258591197/1512447776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,
Tue Feb 24 01:54:09 +0000 2015,570038941497192448,570038941497192448,@VirginAmerica when can I book my flight to Hawaii??,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,12101862,12101862,VirginAmerica,,,,,False,0,0,False,False,en,65842189,65842189,elle,elisha_malulani,,,,[],False,363,385,4,Sat Aug 15 06:14:17 +0000 2009,477,,,True,False,30976,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1251073498279075844/y-ueZ32x_normal.jpg,https://pbs.twimg.com/profile_images/1251073498279075844/y-ueZ32x_normal.jpg,https://pbs.twimg.com/profile_banners/65842189/1547642449,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,
